en,te
You've got to apologize.,మీరు క్షమాపణ చెప్పాలి.
Please keep this a secret.,దయచేసి దీన్ని రహస్యంగా ఉంచండి.
"S. P. B sang over 40,000 songs in various languages and was one of the most versatile and popular singers of his time.","S. P. B వివిధ భాషలలో 40,000 పాటలు పాడారు మరియు అతని కాలంలోని అత్యంత బహుముఖ మరియు ప్రసిద్ధ గాయకులలో ఒకరు."
"Rajinikanth is a popular Indian actor who has worked in Tamil, Telugu, Hindi, Kannada, and other Indian languages films.","రజనీకాంత్ తమిళం, తెలుగు, హిందీ, కన్నడ మరియు ఇతర భారతీయ భాషల చిత్రాలలో పనిచేసిన ప్రముఖ భారతీయ నటుడు."
Tom got in his car and left.,టామ్ తన కారులో దిగి వెళ్ళిపోయాడు.
Tom wanted to talk to Mary face to face.,టామ్ మేరీతో ముఖాముఖి మాట్లాడాలనుకున్నాడు.
Tom and Mary left alone.,టామ్ మరియు మేరీ ఒంటరిగా ఉన్నారు.
Don't come dressed like bums.,బంస్ లాగా దుస్తులు ధరించవద్దు.
Tom showed Mary the scar on his leg.,టామ్ మేరీకి తన కాలు మీద ఉన్న మచ్చను చూపించాడు.
How will that decision affect us?,ఆ నిర్ణయం మనల్ని ఎలా ప్రభావితం చేస్తుంది?
Tom can't even write his own name yet.,టామ్ ఇంకా తన పేరును కూడా వ్రాయలేడు.
Tom handed Mary a check for half a million dollars.,టామ్ మేరీకి అర మిలియన్ డాలర్ల చెక్కును ఇచ్చాడు.
Tom asked me to carry his suitcase.,టామ్ తన సూట్‌కేస్‌ను తీసుకెళ్లమని అడిగాడు.
I didn't get the joke.,నాకు జోక్ రాలేదు.
Naga Venkata Sai is a multi-talented individual with a diverse range of skills.,నాగ వెంకట సాయి విభిన్న నైపుణ్యాలు కలిగిన బహుముఖ ప్రజ్ఞాశాలి.
How are you,మీరు ఎలా ఉన్నారు
Who taught Tom how to speak French?,టామ్ ఫ్రెంచ్ మాట్లాడటం ఎలా నేర్పించారు?
I swim in the sea every day.,నేను ప్రతి రోజు సముద్రంలో ఈత కొడతాను.
Tom popped into the supermarket on his way home to buy some milk.,టామ్ కొంచెం పాలు కొనడానికి ఇంటికి వెళ్ళేటప్పుడు సూపర్ మార్కెట్లోకి ప్రవేశించాడు.
Smoke filled the room.,పొగ గదిని నింపింది.
"K. S. Chitra has won numerous awards for her contribution to music including six National Film Awards, five Filmfare Awards South, and several state government awards.","K. S. చిత్ర ఆరు జాతీయ చలనచిత్ర అవార్డులు, ఐదు ఫిల్మ్‌ఫేర్ అవార్డులు సౌత్ మరియు అనేక రాష్ట్ర ప్రభుత్వ అవార్డులతో సహా సంగీతానికి ఆమె చేసిన కృషికి అనేక అవార్డులను గెలుచుకుంది."
I see someone waving a white flag.,ఎవరో తెల్ల జెండా aving పుతూ నేను చూస్తున్నాను.
Tom has a high fever.,టామ్‌కు అధిక జ్వరం ఉంది.
Tom says he's won.,టామ్ తాను గెలిచానని చెప్పాడు.
I think Tom played well.,టామ్ బాగా ఆడాడు.
It's likely a mistake.,ఇది పొరపాటు.
I wasn't looking at you.,నేను మీ వైపు చూడటం లేదు.
Let's not start a fight.,పోరాటం ప్రారంభించనివ్వండి.
Who didn't write his name?,అతని పేరు ఎవరు వ్రాయలేదు?
The owl gave a loud screech.,గుడ్లగూబ పెద్ద శబ్దం ఇచ్చింది.
